source_row,key,modelo,descripcion,stock,tienda,bodega,location_sum,inventario_fisico_final,cantidad_a_importar,costo_unitario_pesos,costo_unitario_dolares,total_costo_unitario_pesos,fecha_adq,vigencia,matched_sources
11,AEQ-03,AEQ-03,Desengrasante citrico Galón,10.0,9.0,0.0,9.0,8.0,8.0,263.6,0,263.6,2026-03-25T00:00:00,Act Nov 2025,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
12,DB1044A,DB1044A,Detergente en SPRAY&RINSE 12x750ML,5.0,4.0,0.0,4.0,2.0,2.0,1808.39,0,1808.39,03-en-26,Act Feb 2026,inventory/data/products-all.csv
14,DB1076A0,DB1076A0,Detergente Rinse & ULTRA/PLUS 10 bts,10.0,7.0,0.0,7.0,1.0,1.0,1891.0,0,1891.0,2026-03-24T00:00:00,Act Nov 2025,inventory/data/products-all.csv
16,AEQ-04,AEQ-04,Gel antibacterial Galón,4.0,4.0,0.0,4.0,4.0,4.0,226.03,0,226.03,2024-03-12T00:00:00,Act Nov 2025,inventory/data/products-all.csv
17,AEQ-02,AEQ-02,Limpiaparrillas Galón,13.0,10.0,0.0,10.0,8.0,8.0,245.11,0,245.11,2026-03-25T00:00:00,Act Nov 2025,inventory/data/products-all.csv
19,56.00.562,56.00.562,Pastillas de mantenimiento CARE 150 Tabs,39.0,11.0,0.0,11.0,7.0,7.0,1761.2,0,1761.2,2026-02-28T00:00:00,Vigencia de precio,inventory/data/products-all.csv
20,56.00.210A,56.00.210A,Pastillas detergentes 100 Tabs,65.0,36.0,0.0,36.0,22.0,22.0,1319.92,0,1319.92,2026-02-28T00:00:00,Vigencia de precio,inventory/data/products-all.csv
22,AEQ-01,AEQ-01,Quitacochambre Galon,13.0,7.0,0.0,7.0,7.0,7.0,240.54,0,240.54,2026-11-25T00:00:00,Act Nov 2025,inventory/data/products-all.csv
23,DB1085A0,DB1085A0,Removedor de cal UNOX.D&CAL,3.0,1.0,0.0,1.0,1.0,1.0,1282.85,0,1282.85,2026-03-11T00:00:00,Act Nov 2025,inventory/data/products-all.csv
24,AEQ-06,AEQ-06,Sarricida Galón,1.0,1.0,0.0,1.0,1.0,1.0,184.66,0,184.66,2024-03-12T00:00:00,Act Nov 2025,inventory/data/products-all.csv
30,12191309,12191309,"Biasagra de puerta, superior izquierda, mesa ASBER",1.0,1.0,0.0,1.0,1.0,1.0,0.0,14.0,294.0,,,inventory/data/products-all.csv
31,480HP,480HP,Bisagra compuesta para puertas superpuestasFERMOD,6.0,6.0,0.0,6.0,6.0,6.0,0,15.3,321.3,,Act Nov 2025,inventory/data/products-all.csv
32,12216798,12216798,Bisagra inferior ASBER,2.0,2.0,0.0,2.0,2.0,2.0,535.0,0,535.0,,,inventory/data/products-all.csv
33,YL-1238-4,YL-1238-4,Bisagra para cámara de refrigeración COLDTEK,2.0,0.0,0.0,0.0,0.0,0.0,950.0,0,950.0,,,inventory/data/products-all.csv
34,12216800,12216800,Bisagra superior ASBER,2.0,2.0,0.0,2.0,2.0,2.0,535.0,0,535.0,,,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
35,BIS-GEN,BIS-GEN,Bisagras para refrigerador GENERICO,4.0,4.0,0.0,4.0,4.0,4.0,290.0,0,290.0,,Vigencia de precio,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
36,63762,63762,Cerradura con llave cilindro PERLICK,2.0,3.0,0.0,3.0,3.0,3.0,1014.84,0,1014.84,,Vigencia de precio,inventory/data/products-all.csv
37,CSG-1,CSG-1,Cierre para camara frigorifica,1.0,1.0,0.0,1.0,1.0,1.0,0,130.0,2730.0,,Act Nov 2025,inventory/data/products-all.csv
38,12203287,12203287,Conjunto de bisagras derecho ASBER,1.0,1.0,0.0,1.0,1.0,1.0,850.0,0,850.0,,,inventory/data/products-all.csv
39,12203286,12203286,"Conjunto de bisagras mesa, lado izquierdo ASBER",2.0,2.0,0.0,2.0,2.0,2.0,720.0,0,720.0,,,inventory/data/products-all.csv
40,GS-2398,GS-2398,Empaque Alto-Shaam 1000-TH1,2.0,2.0,0.0,2.0,2.0,2.0,853.6,0,853.6,,Vigencia de precio,inventory/data/products-all.csv
41,EMP-ARRASTRE,EMP-ARRASTRE,Empaque de arrastre para camara frigorifica,2.0,2.0,0.0,2.0,2.0,2.0,300.0,0,300.0,,Vigencia de precio,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
42,EMP-IMP02,EMP-IMP02,Empaque importado dimensiones 53 x 74 cm negro,2.0,0.0,0.0,0.0,0.0,0.0,1300.0,0,1300.0,,,inventory/data/products-all.csv
43,EMP-IMP01,EMP-IMP01,Empaque importado dimensiones 57 x 62 cm negro,1.0,1.0,0.0,1.0,1.0,1.0,1300.0,0,1300.0,,Vigencia de precio,inventory/data/products-all.csv
44,EMP-IMP03,EMP-IMP03,Empaque importado dimensiones 64.5 x 30 cm,3.0,3.0,0.0,3.0,3.0,3.0,750.0,0,750.0,,Act Nov 2025,inventory/data/products-all.csv
46,EKC-001,EKC-001,Empaque universal con ceja dimensiones Torrey 68 X 62.5 cm negro,2.0,2.0,0.0,2.0,2.0,2.0,450.0,0,450.0,,Vigencia de precio,inventory/data/products-all.csv
47,EMP-UNI07,EMP-UNI07,Empaque universal dimensiones 177.5 x 52.5 cm negro,3.0,3.0,0.0,3.0,3.0,3.0,603.44,0,603.44,,Vigencia de precio,inventory/data/products-all.csv
48,EMP-UNI01,EMP-UNI01,Empaque universal dimensiones 54.5 x 63.5 cm negro,2.0,2.0,0.0,2.0,2.0,2.0,450.0,0,450.0,,Vigencia de precio,inventory/data/products-all.csv
49,EMP-UNI06,EMP-UNI06,Empaque universal dimensiones 61 x 140 cm negro,1.0,1.0,0.0,1.0,1.0,1.0,650.0,0,650.0,,Vigencia de precio,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
50,EMP-UNI03,EMP-UNI03,Empaque universal dimensiones 64 X 55.5 cm negro,2.0,2.0,0.0,2.0,0.0,0.0,450.0,0,450.0,,Vigencia de precio,inventory/data/products-all.csv
51,EMP-UNI02,EMP-UNI02,Empaque universal dimensiones 70.5 x 66 cm negro,2.0,0.0,0.0,0.0,0.0,0.0,500.0,0,500.0,,,inventory/data/products-all.csv
52,EMP-UNI05,EMP-UNI05,Empaque universal dimensiones 73.5 X 50 cm negro,1.0,1.0,0.0,1.0,1.0,1.0,500.0,0,500.0,,Vigencia de precio,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
53,12190016,12190016,"Espaciador, cuadrado, nylon, puerta, pelaje, a/c ASBER",1.0,1.0,0.0,1.0,1.0,1.0,0,3.35,70.35000000000001,,,inventory/data/products-all.csv
54,1190002,1190002,Goma espesor 73.5 c 59 x 1 mm Cafetera Simonelli,1.0,22.0,0.0,22.0,22.0,22.0,42.0,0,42.0,,Vigencia de precio,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
