source_row,key,modelo,descripcion,stock,tienda,bodega,location_sum,inventario_fisico_final,cantidad_a_importar,costo_unitario_pesos,costo_unitario_dolares,total_costo_unitario_pesos,fecha_adq,vigencia,matched_sources
6,AEQ-08,AEQ-08,Abrillantador para Inoxidable 1lts,2.0,1.0,0.0,1.0,0.0,0.0,60.34,0,60.34,2024-03-12T00:00:00,Act Nov 2025,
7,AEQ-07,AEQ-07,Abrillantador para Inoxidable Galón,2.0,1.0,0.0,1.0,1.0,1.0,297.55,0,297.55,2024-03-12T00:00:00,Act Nov 2025,
8,R-GS 2162-MR,R-GS 2162-MR,Bidon agente abrillantador MEIKO,3.0,3.0,0.0,3.0,3.0,3.0,665.99,0,665.99,2026-06-06T00:00:00,Vigencia de precio,
9,982-M 4544,982-M 4544,Bidon desincrustante MEIKO,3.0,3.0,0.0,3.0,3.0,3.0,745.91,0,745.91,2026-06-06T00:00:00,Vigencia de precio,
10,D-GS 1152-MT,D-GS 1152-MT,Bidon detergente alcalino MEIKO,3.0,3.0,0.0,3.0,3.0,3.0,568.41,0,568.41,2026-06-06T00:00:00,Vigencia de precio,
13,DB1015A0 X LITRO,DB1015A0 X LITRO,Detergente Rinse & PLUS x lt,10.0,7.0,0.0,7.0,7.0,7.0,189.533,0,189.533,,Act Nov 2025,
15,DB1101A0,DB1101A0,Detergente Rinse Speed,3.0,2.0,0.0,2.0,2.0,2.0,1985.33,0,1985.33,2026-03-24T00:00:00,Act Nov 2025,
18,CAFIZA,CAFIZA,Limpiador para máquina de cafes,2.0,0.0,0.0,0.0,2.0,2.0,379.0,0,379.0,2026-05-23T00:00:00,Vigencia de precio,
21,56.01.535,56.01.535,Pastillas detergentes Active Green 150 Tabs,10.0,10.0,0.0,10.0,8.0,8.0,1999.2,0,1999.2,2026-02-28T00:00:00,Vigencia de precio,
25,AEQ-09,AEQ-09,Shampo líquido para manos manzana Galón,1.0,2.0,0.0,2.0,1.0,1.0,123.28,0,123.28,2024-03-12T00:00:00,Act Nov 2025,
26,AEQ-05,AEQ-05,Shampoo liquido para manos sin olor Galón,11.0,11.0,0.0,11.0,11.0,11.0,123.28,0,123.28,2024-03-12T00:00:00,Act Nov 2025,
45,EMP-UNI08,EMP-UNI08,Empaque universal dimensiones 95 X 56 cm negro,1.0,1.0,0.0,1.0,1.0,1.0,650.0,0,650.0,,Vigencia de precio,
61,VCRB25-2,VCRB25-2,"Asador a gas de 25"" ME2205256HB, ME2401031HB, ME2401032HB",1.0,1.0,2.0,3.0,3.0,3.0,0,1088.0,0.0,2025-06-25T00:00:00,Act Nov 2025,
62,BCR150,BCR150,Bascula electronica Tipo plataforma de 150kg,1.0,3.0,0.0,3.0,3.0,3.0,1350.0,0,1350.0,2026-02-05T00:00:00,Act Feb 2026,
63,BCR300,BCR300,Bascula electronica Tipo plataforma de 300kg,1.0,1.0,0.0,1.0,1.0,1.0,1650.0,0,1650.0,2026-02-05T00:00:00,Act Feb 2026,
71,ECM35,ECM35,"Empacadora Cobacorp, barra selladora 5cm",1.0,1.0,0.0,1.0,1.0,1.0,39950.0,0,39950.0,2026-02-05T00:00:00,Act Feb 2026,
73,VCRH12-2,VCRH12-2,"Estufa de mesa para gas 12"" ME2111232HB, ME2111231HB",2.0,0.0,0.0,0.0,0.0,0.0,0,501.0,0.0,2025-06-25T00:00:00,Act Nov 2025,
74,VCRH24-2,VCRH24-2,"Estufa de mesa para gas 24"" ME2401137HB, ME2401138HB",2.0,0.0,0.0,0.0,0.0,0.0,0,927.2,0.0,2024-06-25T00:00:00,Act Nov 2025,
75,EC-2T MASTER PRM,EC-2T MASTER PRM,Estufon a gas de 2 quemadores CORIAT,1.0,1.0,0.0,1.0,1.0,1.0,12714.539999999999,0,12714.539999999999,2026-02-25T00:00:00,Act Feb 2026,
76,EC-1T MASTER PRM,EC-1T MASTER PRM,Estufon sencillo CORIAT,1.0,1.0,0.0,1.0,1.0,1.0,7840.46,0,7840.46,2024-12-27T00:00:00,Act Nov 2025,
78,LG300-2,LG300-2,"Freidora a gas 16kg  ME2310092HB, ME2406338HB, ME2310100HB, ME2402066HB, ME2406334HB, ME2406445HB, ME2406444HB",2.0,1.0,2.0,3.0,3.0,3.0,0,1189.0,24969.0,2024-07-07T00:00:00,Act Feb 2027,
86,XENA-1011-EXRS,XENA-1011-EXRS,Horno mixto electrico Cheftop x,1.0,1.0,0.0,1.0,1.0,1.0,215326.0,0,215326.0,2026-02-05T00:00:00,Act Feb 2026,
87,BNS23,BNS23,Lavamanos accionador de rodilla a pared,1.0,0.0,0.0,0.0,0.0,0.0,8550.0,0,8550.0,2026-02-05T00:00:00,Act Feb 2026,
88,VCRG24-M2,VCRG24-M2,"Plancha a gas de 24""  ME2310116HB, ME2401055HB, ME2401059HB",1.0,0.0,0.0,0.0,0.0,0.0,0,844.2,17728.2,2024-06-25T00:00:00,Act Nov 2025,
89,VCRG36-M2,VCRG36-M2,"Plancha a gas de 36"" ME2402220HB, ME2401083HB, ME2502060HB, ME2502061HB",1.0,1.0,0.0,1.0,1.0,1.0,0,1141.8,23977.8,2024-06-25T00:00:00,Act Feb 2026,
94,VIP14901/3C,VIP14901/3C,Vitrina fria para ingredientes insertos de 1/3 1.5mts INFRICO 3000792670,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2049.75,43044.75,,Act Nov 2025,
98,29120,29120,Cuello adicional FISHHER,1.0,1.0,0.0,1.0,1.0,1.0,1835.74,0,1835.74,,,
109,MCGS18010,MCGS18010,"Mezcladora a cubierta 8"" uso pesado sin cuello CONCASSE",2.0,2.0,0.0,2.0,2.0,2.0,1295.2,0,1295.2,,Vigencia de precio,
122,CTB,CTB,"Conector de barril 3/8"" T y B",5.0,0.0,0.0,0.0,5.0,5.0,55.0,0,55.0,2026-05-18T00:00:00,Vigencia de precio,
123,CEPF,CEPF,"Conector esprea para fleer 3/8""",3.0,0.0,0.0,0.0,3.0,3.0,34.0,0,34.0,2026-05-18T00:00:00,Vigencia de precio,
126,ED,ED,"Esprea alta presión drago 1/4"" NPT x 1/"" 20",10.0,8.0,0.0,8.0,13.0,13.0,30.0,0,30.0,2026-05-18T00:00:00,Vigencia de precio,
127,EB,EB,"Esprea barber 35mm 1/8"" NPT",5.0,0.0,0.0,0.0,5.0,5.0,18.0,0,18.0,2026-05-18T00:00:00,Vigencia de precio,
128,EBTF,EBTF,"Esprea conector de barril 1/4"" para tipo F",5.0,0.0,0.0,0.0,5.0,5.0,42.0,0,42.0,2026-05-18T00:00:00,Vigencia de precio,
129,CE,CE,"Esprea macho 1/8"" NPT",5.0,0.0,0.0,0.0,5.0,5.0,28.0,0,28.0,2026-05-18T00:00:00,Vigencia de precio,
130,ER,ER,"Esprea ranson 1/4"" a 1/4""",5.0,16.0,0.0,16.0,21.0,21.0,36.0,0,36.0,2026-05-18T00:00:00,Vigencia de precio,
131,HG-2E-48,HG-2E-48,"Kit de manguera lisa a gas 1"" x 3/4""",1.0,1.0,0.0,1.0,0.0,0.0,4120.0,0,4120.0,,Act Nov 2025,
141,T3/16,T3/16,T3/16 para piloto,5.0,0.0,0.0,0.0,5.0,5.0,75.0,0,75.0,,Vigencia de precio,
142,VAEBV,VAEBV,Valvula alta presión economica bastago grueso uso rudo volante,5.0,0.0,0.0,0.0,5.0,5.0,160.0,0,160.0,2026-05-18T00:00:00,Vigencia de precio,
143,VA318M,VA318M,Valvula alta presión maneral mariposa,5.0,0.0,0.0,0.0,5.0,5.0,70.0,0,70.0,2026-05-18T00:00:00,Vigencia de precio,
144,VA318C,VA318C,Valvula alta presión para estufa media caña,5.0,0.0,0.0,0.0,5.0,5.0,70.0,0,70.0,2026-05-18T00:00:00,Vigencia de precio,
145,VA318R,VA318R,Valvula alta presión para estufa media caña reforzada,5.0,0.0,0.0,0.0,5.0,5.0,100.0,0,100.0,2026-05-18T00:00:00,Vigencia de precio,
146,VAPEM,VAPEM,Valvula de alta presión economico bastago delgado con mariposa,5.0,0.0,0.0,0.0,5.0,5.0,19.0,0,19.0,2026-05-18T00:00:00,Vigencia de precio,
147,VAEBP,VAEBP,Valvula de alta presión economico con bastago grueso uso rudo,5.0,0.0,0.0,0.0,5.0,5.0,125.0,0,125.0,2026-05-18T00:00:00,Vigencia de precio,
148,VBPS,VBPS,Valvula de baja presión tipo sanson corte bajo,3.0,0.0,0.0,0.0,3.0,3.0,300.0,0,300.0,2026-05-18T00:00:00,Vigencia de precio,
152,VJAPN,VJAPN,Valvula jr alta presión esprea normal,3.0,0.0,0.0,0.0,3.0,3.0,300.0,0,300.0,2026-05-18T00:00:00,Vigencia de precio,
153,VJAPR,VJAPR,Valvula Jr alta presión regulable,3.0,0.0,0.0,0.0,3.0,3.0,330.0,0,330.0,2026-05-18T00:00:00,Vigencia de precio,
154,VJBPN,VJBPN,Valvula junior baja presión esprea normal,3.0,0.0,0.0,0.0,3.0,3.0,300.0,0,300.0,2026-05-18T00:00:00,Vigencia de precio,
155,VJBPF,VJBPF,Valvula junior baja presión p 3/8 fleer,3.0,0.0,0.0,0.0,3.0,3.0,290.0,0,290.0,2026-05-18T00:00:00,Vigencia de precio,
156,VJAPB,VJAPB,"Valvula Junior baja presión para barril de 3/8""",3.0,0.0,0.0,0.0,3.0,3.0,300.0,0,300.0,2026-05-18T00:00:00,Vigencia de precio,
157,VJBPR,VJBPR,Valvula junior baja presión regulable,3.0,0.0,0.0,0.0,3.0,3.0,330.0,0,330.0,2026-05-18T00:00:00,Vigencia de precio,
158,VBPF,VBPF,"Valvula junior baja presiónmod fc/ tuerca y barril 1/4""",5.0,0.0,0.0,0.0,5.0,5.0,300.0,0,300.0,2026-05-18T00:00:00,Vigencia de precio,
162,40393 MARS,40393 MARS,"Aspa de 30"", 4A 5/8, 27 grados CW MARS",1.0,1.0,0.0,1.0,1.0,1.0,4100.0,0,4100.0,,Vigencia de precio,
172,ATMR20,ATMR20,"Fusible 600V, 20A rápido 10 x 38",2.0,3.0,0.0,3.0,3.0,3.0,220.0,17.0,577.0,2025-06-01T00:00:00,Vigencia de precio,
177,FNM-8,FNM-8,Fusible retardado Bussman 250V 8 A,0.0,2.0,0.0,2.0,2.0,2.0,202.74,0,202.74,2026-04-30T00:00:00,Act Nov 2025,
187,ROJAS-4X11/8,ROJAS-4X11/8,"Rueda loca fijas de 4"" de alto x 1 1/8 de ancho ROJAS",2.0,2.0,0.0,2.0,2.0,2.0,550.0,0,550.0,,Vigencia de precio,
