clasificacion_sugerida,motivo,modelo_excel,descripcion_excel,cantidad_a_importar,tienda,bodega,inventario_fisico_final,codigo_existente_sugerido,producto_existente_sugerido,score,score_descripcion,score_tokens,fuente_existente,source_row_excel
exists_other_code,El código parece el mismo con formato distinto.,R-GS 2162-MR,Bidon agente abrillantador MEIKO,3.0,3.0,0.0,3.0,R-GS2162-MR,Bidon agente abrillantador MEIKO,100.0,100.0,100.0,products-all.csv,8
exists_other_code,El código parece el mismo con formato distinto.,982-M 4544,Bidon desincrustante MEIKO,3.0,3.0,0.0,3.0,982-M4544,Bidon desincrustante MEIKO,100.0,100.0,100.0,products-all.csv,9
exists_other_code,El código parece el mismo con formato distinto.,D-GS 1152-MT,Bidon detergente alcalino MEIKO,3.0,3.0,0.0,3.0,D-GS1152-MT,Bidon detergente alcalino MEIKO,100.0,100.0,100.0,products-all.csv,10
exists_other_code,El código parece el mismo con formato distinto.,EC-2T MASTER PRM,Estufon a gas de 2 quemadores CORIAT,1.0,1.0,0.0,1.0,EC2TMASTERPRM,Estufon a gas de 2 quemadores CORIAT,100.0,100.0,100.0,products-all.csv,75
exists_other_code,El código parece el mismo con formato distinto.,VIP14901/3C,Vitrina fria para ingredientes insertos de 1/3 1.5mts INFRICO 3000792670,1.0,1.0,0.0,1.0,VIP149013C,Vitrina fria para ingredientes insertos de 1/3 1.5mts INFRICO 3000792670,100.0,100.0,100.0,products-all.csv,94
exists_other_code,Descripción casi idéntica; probablemente ya existe con otro código.,40393 MARS,"Aspa de 30"", 4A 5/8, 27 grados CW MARS",1.0,1.0,0.0,1.0,40393 -MARS,"Aspa de 30"", 4A 5/8, 27 grados CW MARS",100.0,100.0,100.0,products-all.csv,162
exists_other_code,El código parece el mismo con formato distinto.,GSW-5X11/8,"Rueda locas fijas de 5"" de alto x 1 1/8 "" de ancho GSW",4.0,4.0,0.0,4.0,GSW5X118,"Rueda locas fijas de 5"" de alto x 1 1/8 "" de ancho GSW",100.0,100.0,100.0,products-all.csv,189
exists_other_code,El código parece el mismo con formato distinto.,4303/2S,"Filtro secador , 032S, 1/4"" ODS, conexiones soldar CASTEL",1.0,1.0,0.0,1.0,43032S,"Filtro secador , 032S, 1/4"" ODS, conexiones soldar CASTEL",100.0,100.0,100.0,products-all.csv,273
exists_other_code,Descripción casi idéntica; probablemente ya existe con otro código.,10510,Interruptor magnetico de cortina  MANITOWOC,2.0,2.0,0.0,2.0,000010510,Interruptor magnetico de cortina  MANITOWOC,100.0,100.0,100.0,products-all.csv,399
exists_other_code,El código parece el mismo con formato distinto.,56.01.024P,Bomba de vaciado,2.0,2.0,0.0,2.0,5601024P,Bomba de vaciado,100.0,100.0,100.0,products-all.csv,427
exists_other_code,El código parece el mismo con formato distinto.,CBT-322-77,"Hoja De Sierra De Cinta, 77"" X 5/8"" X 0,22"", 3 Dientes Por Pulgada TORREY",2.0,2.0,0.0,2.0,CBT32277,"Hoja De Sierra De Cinta, 77"" X 5/8"" X 0,22"", 3 Dientes Por Pulgada TORREY",100.0,100.0,100.0,products-all.csv,447
exists_other_code,El código parece el mismo con formato distinto.,000-891,Juego de engranes de transimision VITAMIX,0.0,0.0,0.0,0.0,000891,Juego de engranes de transimision VITAMIX,100.0,100.0,100.0,products-all.csv,449
exists_other_code,El código parece el mismo con formato distinto.,60.70.464,Kit De Conexion para Modelos 61 A 202 RATIONAL,1.0,1.0,0.0,1.0,6070464,Kit De Conexion para Modelos 61 A 202 RATIONAL,100.0,100.0,100.0,products-all.csv,450
exists_other_code,El código parece el mismo con formato distinto.,CMS-3/4,Regulador lobo 3/4 0.8m7hr CMS,1.0,1.0,0.0,1.0,CMS34,Regulador lobo 3/4 0.8m7hr CMS,100.0,100.0,100.0,products-all.csv,493
exists_other_code,Descripción casi idéntica; probablemente ya existe con otro código.,TUERCA-4/8,Tuerca de 4/8,0.0,0.0,0.0,0.0,TUERCA-5/8,Tuerca de 5/8,100.0,92.3,100.0,products-all.csv,502
exists_other_code,El código parece el mismo con formato distinto.,R02.08.143E.00,"Resistencia 220 V, 1250 W, GR54 HATCO",1.0,1.0,0.0,1.0,R0208143E00,"Resistencia 220 V, 1250 W, GR54 HATCO",100.0,100.0,100.0,products-all.csv,578
exists_other_code,El código parece el mismo con formato distinto.,"RES-12""","Resistencia de 12"" 1/2",1.0,1.0,0.0,1.0,RES12,"Resistencia de 12"" 1/2",100.0,100.0,100.0,products-all.csv,579
exists_other_code,El código parece el mismo con formato distinto.,FAB-RES115-1500W,Resistencia M 20 cm ancho x 46 cm largo 115V 1500 WATSS,1.0,1.0,0.0,1.0,FABRES1151500W,Resistencia M 20 cm ancho x 46 cm largo 115V 1500 WATSS,100.0,100.0,100.0,products-all.csv,581
exists_other_code,El código parece el mismo con formato distinto.,TURBINA-5/8,Turbina jaula de ardilla 25 x 6.5 cm con flecha 5/8 con lam galvanizada con buje,3.0,3.0,0.0,3.0,TURBINA58,Turbina jaula de ardilla 25 x 6.5 cm con flecha 5/8 con lam galvanizada con buje,100.0,100.0,100.0,products-all.csv,589
exists_other_code,El código parece el mismo con formato distinto.,TURBINA-5/8IZQ13,Turbina jaula de ardilla de 23 x 13cm con flecha 5/8 lamina galvanizada,1.0,1.0,0.0,1.0,TURBINA58IZQ13,Turbina jaula de ardilla de 23 x 13cm con flecha 5/8 lamina galvanizada,100.0,100.0,100.0,products-all.csv,590
exists_other_code,El código parece el mismo con formato distinto.,TURBINA-5/8IZQ4,Turbina jaula de ardilla de 27.5 x 4cm con flecha 5/8 comercial galvanizada rot. Izq,1.0,1.0,0.0,1.0,TURBINA58IZQ4,Turbina jaula de ardilla de 27.5 x 4cm con flecha 5/8 comercial galvanizada rot. Izq,100.0,100.0,100.0,products-all.csv,591
exists_other_code,El código parece el mismo con formato distinto.,TURBINA-5/8IZQ5,Turbina jaula de ardilla de 27.5 x 5cm con flecha 5/8 comercial galvanizada rot. Izq,2.0,2.0,0.0,2.0,TURBINA58IZQ5,Turbina jaula de ardilla de 27.5 x 5cm con flecha 5/8 comercial galvanizada rot. Izq,100.0,100.0,100.0,products-all.csv,592
exists_other_code,El código parece el mismo con formato distinto.,DU85HFA3/4HP,"Motor de extracción 0.750 HP, 1 fase, 115v, 60 Hz, Monofasico",1.0,0.0,0.0,1.0,DU85HFA34HP,"Motor de extracción 0.750 HP, 1 fase, 115v, 60 Hz, Monofasico",100.0,100.0,100.0,products-all.csv,632
exists_other_code,El código parece el mismo con formato distinto.,56.01.535,Pastillas detergentes Active Green 150 Tabs,8.0,10.0,0.0,8.0,5601535,Pastillas para Horno Rational Active Green,96.0,58.8,37.5,products-all.csv,21
exists_other_code,Descripción casi idéntica; probablemente ya existe con otro código.,EMP-UNI08,Empaque universal dimensiones 95 X 56 cm negro,1.0,1.0,0.0,1.0,EMP-UNI05,Empaque universal dimensiones 73.5 X 50 cm negro,93.6,93.6,55.6,products-all.csv,45
exists_other_code,Descripción casi idéntica; probablemente ya existe con otro código.,37439,Tarjeta de control para deshidratador WARING,2.0,2.0,0.0,2.0,037439,Tarjeta de control para deshidratador WARING/WDH10,93.6,93.6,80.0,products-all.csv,497
exists_other_code,Descripción muy similar y números/medidas compatibles.,ROJAS-4X11/8,"Rueda loca fijas de 4"" de alto x 1 1/8 de ancho ROJAS",2.0,2.0,0.0,2.0,ROJAS-4X11/8F,"Rueda loca con freno fijas de 4"" de alto x 1 1/8 de ancho ROJAS",92.0,91.2,85.7,products-all.csv,187
variant,"Producto parecido a uno existente, pero con diferencia de código, medida, presentación o descripción.",BARRIL-1/4,Barril 1/4,3.0,3.0,0.0,3.0,BARRIL-3/8,Barril 3/8,100.0,80.0,100.0,products-all.csv,421
variant,"Producto parecido a uno existente, pero con diferencia de código, medida, presentación o descripción.",1767,Valvula de descarga 120 v MANITOWOC 000014062,0.0,0.0,0.0,0.0,000001767,Valvula de descarga 120 v MANITOWOC,87.5,87.5,80.0,products-all.csv,413
variant,"Producto parecido a uno existente, pero con diferencia de código, medida, presentación o descripción.",AK000504,Piloto para horno CORIAT,4.0,4.0,0.0,4.0,1291,Piloto para horno IMPERIAL,84.0,84.0,50.0,products-all.csv,232
variant,"Producto parecido a uno existente, pero con diferencia de código, medida, presentación o descripción.","BP1/4""",Block piloto 1/4 QUEMAID,11.0,11.0,0.0,11.0,PILOTO-1/4,Block piloto 1/4,80.0,80.0,66.7,products-all.csv,424
variant,"Producto parecido a uno existente, pero con diferencia de código, medida, presentación o descripción.",ICE24,Interruptor de purga,4.0,0.0,0.0,4.0,1026313,Interruptor de puerta PERLICK,77.6,77.6,25.0,products-all.csv,398
variant,"Producto parecido a uno existente, pero con diferencia de código, medida, presentación o descripción.",SENSORJ-CASM,Sensor J CASMANK,3.0,3.0,0.0,3.0,PT-100,Sensor J SANSON,77.4,77.4,33.3,products-all.csv,494
variant,"Producto parecido a uno existente, pero con diferencia de código, medida, presentación o descripción.",PER-100200,Perilla de 100-200 C,3.0,3.0,0.0,3.0,PER-60250,Perilla Negra 60-250 C,76.2,76.2,16.7,products-all.csv,468
variant,"Producto parecido a uno existente, pero con diferencia de código, medida, presentación o descripción.",MESA-BATIDORA,Mesa para batidora en acero T-304 C-18,1.0,1.0,0.0,1.0,MESA-TRAB120,"Mesa de trabajo acero T-304, C-18. 120 x 70 x 90 cm con entrepaño",73.6,53.5,36.4,products-all.csv,204
variant,"Producto parecido a uno existente, pero con diferencia de código, medida, presentación o descripción.",FNM-8,Fusible retardado Bussman 250V 8 A,2.0,2.0,0.0,2.0,FNM-25,Fusible Bussman de 250vac,71.2,71.2,40.0,products-all.csv,177
variant,"Producto parecido a uno existente, pero con diferencia de código, medida, presentación o descripción.",848244,Control de temperatura con pantalla TRUE,1.0,1.0,0.0,1.0,219716,Kit control de temperatura LAEBR1,71.2,71.2,33.3,products-all.csv,264
variant,"Producto parecido a uno existente, pero con diferencia de código, medida, presentación o descripción.",PSA1242,Kit de conjunto calentador resistencia MERRYCHEF,1.0,1.0,0.0,1.0,230020C,Kit de elemento calefactor resistencia,69.8,69.8,28.6,products-all.csv,575
variant,"Producto parecido a uno existente, pero con diferencia de código, medida, presentación o descripción.",VA318M,Valvula alta presión maneral mariposa,5.0,0.0,0.0,5.0,9652103,Valvula de presion M-Lq MEIKO,69.7,69.7,28.6,products-all.csv,143
variant,"Producto parecido a uno existente, pero con diferencia de código, medida, presentación o descripción.",HG-2E-48,"Kit de manguera lisa a gas 1"" x 3/4""",0.0,1.0,0.0,0.0,1650KIT48,"Kit Manguera de gas con sistema de seguridad 1/2 X 48"" DORMONT",69.0,48.4,37.5,products-all.csv,131
variant,"Producto parecido a uno existente, pero con diferencia de código, medida, presentación o descripción.","BP3/16""",Block piloto 3/16 QUEMAID,9.0,9.0,0.0,9.0,BLOCK 3-16,Block piloto sencillo de 3/16,69.0,63.0,60.0,products-all.csv,425
variant,"Producto parecido a uno existente, pero con diferencia de código, medida, presentación o descripción.",QTN,Quemador triple,2.0,0.0,0.0,2.0,102533,Quemador corto IMPERIAL,68.4,68.4,25.0,products-all.csv,224
variant,"Producto parecido a uno existente, pero con diferencia de código, medida, presentación o descripción.",KGN1240A,Sello de silicona para vidrio,1.0,0.0,0.0,1.0,835384,Sellador de silicon TRUE,67.9,67.9,0.0,products-all.csv,569
variant,"Producto parecido a uno existente, pero con diferencia de código, medida, presentación o descripción.",00-913102-00292,Control de encendido por chispa Vulcan,1.0,1.0,0.0,1.0,35-625906-011,Control de encendido 24 vac FENWAL,66.7,66.7,25.0,products-all.csv,437
variant,"Producto parecido a uno existente, pero con diferencia de código, medida, presentación o descripción.",MCGS18010,"Mezcladora a cubierta 8"" uso pesado sin cuello CONCASSE",2.0,2.0,0.0,2.0,15-812L,"Llave mezcaldora a cubierta de 8"" con cuello recto 12",66.0,66.0,20.0,products-all.csv,109
