clasificacion_sugerida,motivo,modelo_excel,descripcion_excel,cantidad_a_importar,tienda,bodega,inventario_fisico_final,codigo_existente_sugerido,producto_existente_sugerido,score,score_descripcion,score_tokens,fuente_existente,source_row_excel
to_create,No hay coincidencia suficiente por código ni descripción.,PD502923,Conector en T Follet,1.0,1.0,0.0,1.0,805143,Kit conector de cables,61.9,61.9,25.0,products-all.csv,392
to_create,No hay coincidencia suficiente por código ni descripción.,4A1551-01,Tubo de goma HOSHIZAKI,1.0,1.0,0.0,1.0,481332M01,Resorte muelle HOSHIZAKI,60.9,60.9,20.0,products-all.csv,412
to_create,No hay coincidencia suficiente por código ni descripción.,DB1015A0 X LITRO,Detergente Rinse & PLUS x lt,7.0,7.0,0.0,7.0,DB1044A,Detergente Unox SPRAY&Rinse,60.4,60.4,33.3,products-all.csv,13
to_create,No hay coincidencia suficiente por código ni descripción.,40.06.625P,"Arnés De Cables, Bomba Rational",1.0,1.0,0.0,1.0,PALISLA049,Aspa grande de licuadora INTERNATIONA,59.7,59.7,0.0,products-all.csv,419
to_create,No hay coincidencia suficiente por código ni descripción.,957910,"Conjunto de tapa, deposito serie 7 follet",1.0,1.0,0.0,1.0,12203287,Conjunto de bisagras derecho ASBER,59.5,59.5,12.5,products-all.csv,394
to_create,No hay coincidencia suficiente por código ni descripción.,CAFIZA,Limpiador para máquina de cafes,2.0,0.0,0.0,2.0,TEFLONMT,Teflon para maquina al vacio CAJA,59.4,59.4,14.3,products-all.csv,18
to_create,No hay coincidencia suficiente por código ni descripción.,PBTR,Perilla bakelita rombo QUEMAID,5.0,5.0,0.0,5.0,PER-UNIV-R,Perilla para estufa roja,59.3,59.3,16.7,products-all.csv,464
to_create,No hay coincidencia suficiente por código ni descripción.,VJBPF,Valvula junior baja presión p 3/8 fleer,3.0,0.0,0.0,3.0,9652103,Valvula de presion M-Lq MEIKO,58.8,58.8,28.6,products-all.csv,155
to_create,No hay coincidencia suficiente por código ni descripción.,VBPS,Valvula de baja presión tipo sanson corte bajo,3.0,0.0,0.0,3.0,VALVULASANSON,Valvula para estufa SANSON,58.3,58.3,25.0,products-all.csv,148
to_create,No hay coincidencia suficiente por código ni descripción.,VA318R,Valvula alta presión para estufa media caña reforzada,5.0,0.0,0.0,5.0,VALVULASANSON,Valvula para estufa SANSON,58.2,58.2,25.0,products-all.csv,145
to_create,No hay coincidencia suficiente por código ni descripción.,VJAPR,Valvula Jr alta presión regulable,3.0,0.0,0.0,3.0,9652103,Valvula de presion M-Lq MEIKO,58.1,58.1,28.6,products-all.csv,153
to_create,No hay coincidencia suficiente por código ni descripción.,VRI,Valvula regulable importada QUEMAID,4.0,4.0,0.0,4.0,00-292909-00003,Válvula reguladora de vacío,58.1,58.1,16.7,products-all.csv,509
to_create,No hay coincidencia suficiente por código ni descripción.,VJAPN,Valvula jr alta presión esprea normal,3.0,0.0,0.0,3.0,9652103,Valvula de presion M-Lq MEIKO,57.6,57.6,25.0,products-all.csv,152
to_create,No hay coincidencia suficiente por código ni descripción.,PBDR,Perilla bakelita doble roja QUEMAID,5.0,5.0,0.0,5.0,PER-UNIV-R,Perilla para estufa roja,57.6,57.6,33.3,products-all.csv,457
to_create,No hay coincidencia suficiente por código ni descripción.,PMCHROJA,Perilla metalica chica roja QUEMAID,5.0,5.0,0.0,5.0,PER-UNIV-R,Perilla para estufa roja,57.6,57.6,33.3,products-all.csv,473
to_create,No hay coincidencia suficiente por código ni descripción.,AEQ-07,Abrillantador para Inoxidable Galón,1.0,1.0,0.0,1.0,MCGACAIGDEE,Guante anticorte  de acero inoxidable grande CONCASSE,57.5,57.5,12.5,products-all.csv,7
