Nombre,Código,Clase de Código de barras,Marca,Código de categoría,unit code,Venta unit code,Comprar unit code,Costo,Precio,Cantidad de alerta,Tasa de impuestos,Método de impuestos,Imagen,Código de la Sub categoría,Variantes de producto,Producto de campo personalizado 1,Producto Campo Personalizadoo 2,Producto Campo Personalizadoo 3,Producto Campo Personalizadoo 4,Producto Campo Personalizadoo 5,Producto Campo Personalizadoo 6,Cantidad,recID,warehouseStock,inventory_import
"TEST
",56.00.562,code128,RATIONAL,2,Pieza,Pieza,Pieza,1761.20,2790.00,10,IVA,Exclusivo,ce89b6cda79cc569fdf97f96ee7be8d2.png,Sub01-02,ABC-TEST,cubeta con 150 pastillas.,"TEST
",TEST,TEST,TEST,TEST,17,recTbKuvbqJYnA5PO,,
Pastillas Abrillantador Care-Tab de 150 unidades RATIONAL,56.00.562,code128,RATIONAL,2,Pieza,Pieza,Pieza,1761.20,2790.00,10,IVA,Exclusivo,ce89b6cda79cc569fdf97f96ee7be8d2.png,,,cubeta con 150 pastillas.,,,,,,17,recMZFjVl8QzGuMRg,,
Freidora a gas 16kg,LG300,code128,VULCAN,1,Pieza,Pieza,Pieza,1111.20,1445.00,1,IVA,Exclusivo,f071ca39978789b389ac0fee2ababedf.jpg,Sub01-02,,,,,,,,3,reciDbHmuODlr0OLV,,
"""Estufa de mesa a Gas 4 quemadores de 24",VCRH24,code128,VULCAN,1,Pieza,Pieza,Pieza,777.00,1050.00,1,IVA,Exclusivo,aafad888227d40d6aff012d7ed4bc0ec.jpg,Sub01-01,,,,,,,,1,rec4Wi5rVfwNffaZh,,
"Termopila 36"" L",062013637307,code128,robertshaw,,Pieza,Pieza,Pieza,538.00,723.00,0,IVA,Exclusivo,7f388c4bdc93a2322abd585a3d5249ac.jpg,,,,,,,,,,recpjpnhBJuuExBA1,,
Control de temperatura,967195,code128,TRUE,2,Pieza,Pieza,Pieza,101.02,137.00,0,IVA,Exclusivo,0475002a8f9d9003e2960c3bb0adc096.png,,,,,,,,,,recRGN8PatP5N2HtS,,
"Motor ventilador 100-240 V, 50/60 Hz, 13 W, 1550 RPM",225824,code128,TRUE,2,Pieza,Pieza,Pieza,224.94,304.00,1,IVA,Exclusivo,2612decf680218dc8a26918d8b911e7d.png,,,,,,,,,2.0,recPJuIVfH9E8YqnM,"{""tienda"": 2.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 297, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 2.0, ""bodega"": 0.0, ""physicalFinal"": 2.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
Kit control de temperatura LAEBIT25,219717,code128,TRUE,2,Pieza,Pieza,Pieza,339.15,458.00,0,IVA,Exclusivo,07010919d8b6ed1714507bc9e70421d1.png,,,,,,,,,1.0,recSJMQgy7qWwleYl,"{""tienda"": 1.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 282, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 1.0, ""bodega"": 0.0, ""physicalFinal"": 1.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
"Kit de bandeja de desague, 220v",823236,code128,TRUE,2,Pieza,Pieza,Pieza,297.44,401.00,0,IVA,Exclusivo,344417f430961bf30c0bccc364b7c097.png,,,,,,,,,1.0,recKgfVBYQSXu27TL,"{""tienda"": 1.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 287, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 1.0, ""bodega"": 0.0, ""physicalFinal"": 1.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
Kit control de temperatura LAEBR1,219716,code128,TRUE,2,Pieza,Pieza,Pieza,323.50,436.00,0,IVA,Exclusivo,f10beab1b5af9d29aca43a80adef0dc6.png,,,,,,,,,2.0,recaJYAc0w9JCUaOh,"{""tienda"": 2.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 283, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 2.0, ""bodega"": 0.0, ""physicalFinal"": 2.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
Sensor de desescarche 2 polos con capilar de 5,807408,code128,TRUE,2,Pieza,Pieza,Pieza,16.80,25.00,1,IVA,Exclusivo,428a90dfa32878270ca0b0e4b922b5b0.png,,,,,,,,,0.0,recx8aejUgUtHXsZj,"{""tienda"": 0.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 305, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 0.0, ""bodega"": 0.0, ""physicalFinal"": 0.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
