source_row,key,modelo,descripcion,stock,tienda,bodega,location_sum,inventario_fisico_final,cantidad_a_importar,costo_unitario_pesos,costo_unitario_dolares,total_costo_unitario_pesos,fecha_adq,vigencia
6,AEQ-08,AEQ-08,Abrillantador para Inoxidable 1lts,2.0,1.0,0.0,1.0,0.0,,60.34,0,60.34,2024-03-12T00:00:00,Act Nov 2025
7,AEQ-07,AEQ-07,Abrillantador para Inoxidable Galón,2.0,1.0,0.0,1.0,1.0,,297.55,0,297.55,2024-03-12T00:00:00,Act Nov 2025
8,R-GS 2162-MR,R-GS 2162-MR,Bidon agente abrillantador MEIKO,3.0,3.0,0.0,3.0,3.0,,665.99,0,665.99,2026-06-06T00:00:00,Vigencia de precio
9,982-M 4544,982-M 4544,Bidon desincrustante MEIKO,3.0,3.0,0.0,3.0,3.0,,745.91,0,745.91,2026-06-06T00:00:00,Vigencia de precio
10,D-GS 1152-MT,D-GS 1152-MT,Bidon detergente alcalino MEIKO,3.0,3.0,0.0,3.0,3.0,,568.41,0,568.41,2026-06-06T00:00:00,Vigencia de precio
11,AEQ-03,AEQ-03,Desengrasante citrico Galón,10.0,9.0,0.0,9.0,8.0,,263.6,0,263.6,2026-03-25T00:00:00,Act Nov 2025
12,DB1044A,DB1044A,Detergente en SPRAY&RINSE 12x750ML,5.0,4.0,0.0,4.0,2.0,,1808.39,0,1808.39,03-en-26,Act Feb 2026
13,DB1015A0 X LITRO,DB1015A0 X LITRO,Detergente Rinse & PLUS x lt,10.0,7.0,0.0,7.0,7.0,,189.533,0,189.533,,Act Nov 2025
14,DB1076A0,DB1076A0,Detergente Rinse & ULTRA/PLUS 10 bts,10.0,7.0,0.0,7.0,1.0,,1891.0,0,1891.0,2026-03-24T00:00:00,Act Nov 2025
15,DB1101A0,DB1101A0,Detergente Rinse Speed,3.0,2.0,0.0,2.0,2.0,,1985.33,0,1985.33,2026-03-24T00:00:00,Act Nov 2025
16,AEQ-04,AEQ-04,Gel antibacterial Galón,4.0,4.0,0.0,4.0,4.0,,226.03,0,226.03,2024-03-12T00:00:00,Act Nov 2025
17,AEQ-02,AEQ-02,Limpiaparrillas Galón,13.0,10.0,0.0,10.0,8.0,,245.11,0,245.11,2026-03-25T00:00:00,Act Nov 2025
18,CAFIZA,CAFIZA,Limpiador para máquina de cafes,2.0,0.0,0.0,0.0,2.0,,379.0,0,379.0,2026-05-23T00:00:00,Vigencia de precio
19,56.00.562,56.00.562,Pastillas de mantenimiento CARE 150 Tabs,39.0,11.0,0.0,11.0,7.0,,1761.2,0,1761.2,2026-02-28T00:00:00,Vigencia de precio
20,56.00.210A,56.00.210A,Pastillas detergentes 100 Tabs,65.0,36.0,0.0,36.0,22.0,,1319.92,0,1319.92,2026-02-28T00:00:00,Vigencia de precio
21,56.01.535,56.01.535,Pastillas detergentes Active Green 150 Tabs,10.0,10.0,0.0,10.0,8.0,,1999.2,0,1999.2,2026-02-28T00:00:00,Vigencia de precio
22,AEQ-01,AEQ-01,Quitacochambre Galon,13.0,7.0,0.0,7.0,7.0,,240.54,0,240.54,2026-11-25T00:00:00,Act Nov 2025
23,DB1085A0,DB1085A0,Removedor de cal UNOX.D&CAL,3.0,1.0,0.0,1.0,1.0,,1282.85,0,1282.85,2026-03-11T00:00:00,Act Nov 2025
24,AEQ-06,AEQ-06,Sarricida Galón,1.0,1.0,0.0,1.0,1.0,,184.66,0,184.66,2024-03-12T00:00:00,Act Nov 2025
25,AEQ-09,AEQ-09,Shampo líquido para manos manzana Galón,1.0,2.0,0.0,2.0,1.0,,123.28,0,123.28,2024-03-12T00:00:00,Act Nov 2025
26,AEQ-05,AEQ-05,Shampoo liquido para manos sin olor Galón,11.0,11.0,0.0,11.0,11.0,,123.28,0,123.28,2024-03-12T00:00:00,Act Nov 2025
30,12191309,12191309,"Biasagra de puerta, superior izquierda, mesa ASBER",1.0,1.0,0.0,1.0,1.0,,0.0,14.0,294.0,,
31,480HP,480HP,Bisagra compuesta para puertas superpuestasFERMOD,6.0,6.0,0.0,6.0,6.0,,0,15.3,321.3,,Act Nov 2025
32,12216798,12216798,Bisagra inferior ASBER,2.0,2.0,0.0,2.0,2.0,,535.0,0,535.0,,
33,YL-1238-4,YL-1238-4,Bisagra para cámara de refrigeración COLDTEK,2.0,0.0,0.0,0.0,0.0,,950.0,0,950.0,,
34,12216800,12216800,Bisagra superior ASBER,2.0,2.0,0.0,2.0,2.0,,535.0,0,535.0,,
