source,codigo,descripcion,excel_quantity,source_quantity,difference
JSON activo inventory-products.json,AEQ-03,Desengrasante citrico Galón,8.0,12.0,4.0
JSON activo inventory-products.json,DB1044A,Detergente en SPRAY&RINSE 12x750ML,2.0,5.0,3.0
JSON activo inventory-products.json,DB1076A0,Detergente Rinse & ULTRA/PLUS 10 bts,1.0,2.0,1.0
JSON activo inventory-products.json,AEQ-02,Limpiaparrillas Galón,8.0,14.0,6.0
JSON activo inventory-products.json,56.00.562,Pastillas de mantenimiento CARE 150 Tabs,7.0,17.0,10.0
JSON activo inventory-products.json,56.00.210A,Pastillas detergentes 100 Tabs,22.0,6.0,-16.0
JSON activo inventory-products.json,AEQ-01,Quitacochambre Galon,7.0,11.0,4.0
JSON activo inventory-products.json,DB1085A0,Removedor de cal UNOX.D&CAL,1.0,0.0,-1.0
JSON activo inventory-products.json,12191309,"Biasagra de puerta, superior izquierda, mesa ASBER",1.0,0.0,-1.0
JSON activo inventory-products.json,480HP,Bisagra compuesta para puertas superpuestasFERMOD,6.0,0.0,-6.0
JSON activo inventory-products.json,12216798,Bisagra inferior ASBER,2.0,0.0,-2.0
JSON activo inventory-products.json,12216800,Bisagra superior ASBER,2.0,0.0,-2.0
JSON activo inventory-products.json,BIS-GEN,Bisagras para refrigerador GENERICO,4.0,0.0,-4.0
JSON activo inventory-products.json,63762,Cerradura con llave cilindro PERLICK,3.0,0.0,-3.0
JSON activo inventory-products.json,CSG-1,Cierre para camara frigorifica,1.0,0.0,-1.0
JSON activo inventory-products.json,12203287,Conjunto de bisagras derecho ASBER,1.0,2.0,1.0
JSON activo inventory-products.json,12203286,"Conjunto de bisagras mesa, lado izquierdo ASBER",2.0,4.0,2.0
JSON activo inventory-products.json,GS-2398,Empaque Alto-Shaam 1000-TH1,2.0,0.0,-2.0
JSON activo inventory-products.json,EMP-ARRASTRE,Empaque de arrastre para camara frigorifica,2.0,0.0,-2.0
JSON activo inventory-products.json,EMP-IMP01,Empaque importado dimensiones 57 x 62 cm negro,1.0,0.0,-1.0
JSON activo inventory-products.json,EMP-IMP03,Empaque importado dimensiones 64.5 x 30 cm,3.0,0.0,-3.0
JSON activo inventory-products.json,EKC-001,Empaque universal con ceja dimensiones Torrey 68 X 62.5 cm negro,2.0,0.0,-2.0
JSON activo inventory-products.json,EMP-UNI07,Empaque universal dimensiones 177.5 x 52.5 cm negro,3.0,0.0,-3.0
JSON activo inventory-products.json,EMP-UNI01,Empaque universal dimensiones 54.5 x 63.5 cm negro,2.0,0.0,-2.0
JSON activo inventory-products.json,EMP-UNI06,Empaque universal dimensiones 61 x 140 cm negro,1.0,0.0,-1.0
JSON activo inventory-products.json,EMP-UNI03,Empaque universal dimensiones 64 X 55.5 cm negro,0.0,2.0,2.0
JSON activo inventory-products.json,EMP-UNI05,Empaque universal dimensiones 73.5 X 50 cm negro,1.0,0.0,-1.0
JSON activo inventory-products.json,12190016,"Espaciador, cuadrado, nylon, puerta, pelaje, a/c ASBER",1.0,0.0,-1.0
JSON activo inventory-products.json,1190002,Goma espesor 73.5 c 59 x 1 mm Cafetera Simonelli,22.0,0.0,-22.0
JSON activo inventory-products.json,1026313,Interruptor de puerta PERLICK,1.0,0.0,-1.0
JSON activo inventory-products.json,1186837,"Junta portafolio 72 x 58x 7 mm, cafetera Simonelli",11.0,0.0,-11.0
JSON activo inventory-products.json,XWVRC-0711-H,Base Stand Alto Horno Combinado Multifuncional,1.0,0.0,-1.0
JSON activo inventory-products.json,BERMEXB2,Batidora Planetaria Comercial 20Ltt 1.5 Hp 6kg Amasa Rojo 60 Hz BERMEX B2,3.0,0.0,-3.0
JSON activo inventory-products.json,5424ND2PSPFB,Campana de acero inoxidable de 8 pies,1.0,0.0,-1.0
JSON activo inventory-products.json,SX36-6BP,Estufa con horno de 6 quemadores ME2401019HB,0.0,1.0,1.0
JSON activo inventory-products.json,VSP200F-1,Fogon para ollas a gas DV1152764,1.0,0.0,-1.0
JSON activo inventory-products.json,VICM24-201,"Gratinador de 24"" ME2310153HB",1.0,0.0,-1.0
JSON activo inventory-products.json,XEVC-1011-GPRM,"Horno combinado a gas CHEF TOP 10 GN1/1 plus, serie 2023A0005377",1.0,0.0,-1.0
JSON activo inventory-products.json,VC4GD-21D150K,Horno de convección a gas 482045201,1.0,0.0,-1.0
JSON activo inventory-products.json,T043C,Horno De Convección Venix Torcello,1.0,0.0,-1.0
JSON activo inventory-products.json,MS300CT,Rebanadora Bermex MS-300-CT Con Cuchilla De Acero,1.0,0.0,-1.0
JSON activo inventory-products.json,153A-3,Torre Dispensadora de Cerveza de Barril TURBO AIR,1.0,0.0,-1.0
JSON activo inventory-products.json,54410,"Cuello curvo para mezcladora 12"" FISHER",2.0,0.0,-2.0
JSON activo inventory-products.json,3963,"Cuello recto para mezcladora 12"" FISHER",1.0,0.0,-1.0
JSON activo inventory-products.json,21-406L,Juegos de conectores para mezcladora KROWNE,5.0,0.0,-5.0
JSON activo inventory-products.json,3248,"Mezcladora a pared de 8"" DICA",1.0,0.0,-1.0
JSON activo inventory-products.json,90-3032,Adaptador macho a gas 3/4 a 5/8 DORMONT,4.0,0.0,-4.0
JSON activo inventory-products.json,COD-11/4,"Codo Calle 90° de 1 1/4"" DORMONT",1.0,0.0,-1.0
JSON activo inventory-products.json,COD-1/2,"Codo Calle 90° de 1/2"" DORMONT",6.0,0.0,-6.0
JSON activo inventory-products.json,A50,Conexión rapida 1/2 A50 DORMONT,1.0,0.0,-1.0
JSON activo inventory-products.json,A75,Conexión rapida 3/4 A75 DORMONT,3.0,0.0,-3.0
JSON activo inventory-products.json,1675KIT48,"Kit de sistema de seguridad, 3/4 x48"" pulgadas de diámetro DORMONT",4.0,3.0,-1.0
JSON activo inventory-products.json,1650KIT48,"Kit Manguera de gas con sistema de seguridad 1/2 X 48"" DORMONT",2.0,3.0,1.0
JSON activo inventory-products.json,TAG-DE-DM1061,"Manguera de acero inoxidable 3/4 x 48"" DORMONT",0.0,6.0,6.0
JSON activo inventory-products.json,30c-4142-36,"Manguera de gas corrugada amarilla 3/4"" X 36"" DORMONT",0.0,1.0,1.0
JSON activo inventory-products.json,VAL-DORM11/4,"Válvula de bola de gas de paso de 1 1/4"" DORMONT",1.0,0.0,-1.0
JSON activo inventory-products.json,VAL-DORM1/2,"Válvula de bola de gas de paso de 1/2"" DORMONT",3.0,0.0,-3.0
JSON activo inventory-products.json,VAL-DORM3/4,"Válvula de bola de gas de paso de 3/4"" DORMONT",2.0,0.0,-2.0
JSON activo inventory-products.json,PO-A39,Banda V lisa estirada para uso industrial PRO ONE,1.0,0.0,-1.0
